codigo,Nombre,Barras,Tarima,Estiba,masterPack
ADIR1021-A,Luminario De Emergencia Portatil 60 Led,7.50222E+12,1890,63,30
ADIR12109,Estante Organizador de Acero de 5 Niveles,7.50643E+12,87,87,N/A
ADIR11577,Motosierra Con Motor,7.50643E+12,60,30,2
ADIR12394,"Ventilador de Pedestal 16""",7.50643E+12,56,56,N/A
ADIR12603,Compresor Lubricado VertiC3. 5HP CPN Tanque 50 L,7.50643E+12,8,8,N/A
ADIR12036,Portarrollo Jumbo Abs Negro Translucido,7.50643E+12,100,5,20
ADIR12109,Estante Metalico,7.50643E+12,87,87,N/A
ADIR13200,Sopladora Gasolina Tipo Mochila 43CC,7.50643E+12,18,18,N/A
ADIR13203,Soplador Inalǭmbrico 20V,7.50643E+12,100,17,6
ADIR13204,Cortasetos Inalǭmbrico 20V,7.50643E+12,80,20,4
ADIR13240,Podadora Gasolina,7.50643E+12,15,15,N/A
ADIR13423,,,,,
ADIR1951,Aspiradora de Acero Inoxidable,7.50643E+12,35,35,N/A
ADIR2071,,,,,
ADIR223,Desbrozadora Elec. C/Mango Extend. 350 W,7.50222E+12,72,9,8
ADIR226-A,Desbrozadora Con Motor A Gasolina 52 CC,7.50227E+12,30,30,N/A
ADIR241,Compresor Aire t/hamburguesa 1/2 hp T12,7.50643E+12,24,24,N/A
ADIR411,Hidro lavadora Alta Presi��n,7.50227E+12,60,60,N/A
ADIR256,Juego 22 Llaves Comb. STD/MM. 1/4-7/8 - 6,7.50222E+12,100,13,8
ADIR350,Fumigadora Agricola de Mochila,7.50222E+12,50,50,N/A
ADIR3850,Bomba Elec. Periferica 1/2 HP TULPLUS,7.50643E+12,100,100,N/A
ADIR411,Hidrolavadora Alta Presion,7.50227E+12,70,70,N/A
ADIR658,Mini compresor de aire 300 PSI,,26,2,N/A
ADIR6710,Careta Electronica para Soldar Freedom EAGL,7.50227E+12,20,20,4
ADIR6770,Careta Electronica para Soldar Futbol TULPL,7.50643E+12,128,32,4
ADIR658,Mini Compresor De Aire 300 PSI,,26,2,13
ADIR830,Maquina Trozadora de Metales 14in,7.50222E+12,24,24,N/A
ADIR920,Gato Hidrǭulico 2 Toneladas,7.503E+12,150,150,N/A
AM1C10,Jaula para Mascotas Azul,7.50304E+12,210,21,10
AM1C13,Jaula para Mascotas Naranja,7.50304E+12,210,21,10
AM1C17,Jaula para Mascotas CafǸ,7.50304E+12,210,21,10
AM1C22,Jaula para Mascotas Rosa,7.50304E+12,210,21,10
AM1C8,Jaula para Mascotas Azul,7.50304E+12,210,21,10
AM2C13,Arenero Domo para Gato de Plastico de 35*32*50cm Naranja,7.50305E+12,280,28,10
AM2C17,Arenero Domo para Gato de Plastico de 35*32*50cm Cafe,7.50305E+12,280,28,10
AM2C22,Arenero Domo para Gato de Plastico de 35*32*50cm Rosa,7.50305E+12,280,28,10
AM2C8,Arenero Domo para Gato de Plastico de 35*32*50cm Azul,7.50305E+12,280,28,10
AM2C9,Arenero Domo para Gato de Plastico de 35*32*50cm Marino,7.50305E+12,280,28,10
BB10C4,,,,,
BB17C22,,,,,
BB17C31,,,,,
BB17C8,,,,,
BB20C10,Silla Alta Periquera para Bebe 2 Posiciones Azul Claro,7.50305E+12,36,36,N/A
BB21C39,Gimnasio para Bebe de 73*58*40 LZ-948 Arcoiris,7.50305E+12,200,200,N/A
BB21C56,Gimnasio para Bebe de 73*58*40 LZ-925 Azul/Blanco,7.50305E+12,115,115,N/A
BB21C8,Gimnasio para Bebe de 73*58*40 LZ-932 Azul,7.50305E+12,200,200,N/A
BB22C22,Andadera para BebǸ Sencilla Rosa,7.50305E+12,63,9,7
BB22C8,Andadera para BebǸ Sencilla Azul,7.50305E+12,42,6,7
BB24C4,Carriola-Triciclo Infantil con Protector Solar Mod.ND-YL Gris,7.50305E+12,20,20,N/A
BB24C8,Carriola-Triciclo Infantil con Protector Solar Mod.ND-YL Azul,7.50305E+12,20,20,N/A
BB25C1,Silla Mecedora Musical con juguetes para Bebe Mod. LB,7.50305E+12,135,9,Master
BB25C22,Silla Mecedora Musical con juguetes para Bebe Mod. LB,7.50305E+12,135,9,Master
BB25C31,Silla Mecedora Musical con juguetes para Bebe Mod. LB,,135,9,Master
BB25C4,Silla Mecedora Musical con juguetes para Bebe Mod. LB,7.50305E+12,135,9,Master
BB26C22,Carriola para BebǸ Basica ND-AT Rosa,7.50305E+12,84,14,6
BB26C31,Carriola para BebǸ Basica ND-AT Verde,7.50305E+12,84,14,6
BB26C4,Carriola para BebǸ Basica ND-AT Gris,7.50305E+12,84,14,6
BB26C7,Carriola para BebǸ Basica ND-AT Beige,7.50305E+12,84,14,6
BB2C8,Silla Alta Periquera para Bebe Mod.1 Azul,7.50304E+12,42,42,N/A
BB3C22,Silla Mecedora Electrica Bebé Rosa,7.50304E+12,70,70,N/A
BB3C4,Mecedora Electrica para BebǸ Gris,7.50304E+12,55,55,N/A
BB3C8,Mecedora Electrica para BebǸ Azul,7.50304E+12,55,55,N/A
BB5C7,Silla para Bebe Portatil Beige,7.50304E+12,240,24,10
BB6C22,Andadera para Bebe 2 con musica y juguetes rosa,7.50304E+12,66,66,N/A
BB6C8,Andadera para Bebe 2 con musica y juguetes azul,7.50304E+12,66,66,N/A
BC9C1,Silla para Barbero Acojinada Negra,7.50305E+12,12,12,N/A
DF1C1,Trampolin 55 Color Negro,7.50304E+12,55,55,N/A
DF1C8,Trampolin 55 Color Azul,7.50304E+12,55,55,N/A
DF2C1,Bǭscula Digital para Ba��o,7.50304E+12,720,36,20
DF4C12,,,,,
DF4C13,,,,,
DF4C22,,,,,
EA1C1,,,,,
EA2C1,,,,,
EA3C1,,,,,
EA3C4,,,,,
EA3C8,,,,,
EL4C6,Maquina para Waffles de 110V AY,7.50304E+12,54,54,
EL8C5,Cafetera Tetera Metalica Electrica de 1000w y 1.8l Plata,7.50305E+12,320,20,16
EL10C1,Refrigerador BC-46 Negro,7.50305E+12,24,24,N/A
EL11C1,Campana Extractor de 50cm Negra,7.50305E+12,72,72,N/A
EL11C5,Campana Extractor de 50cm Plata,7.50305E+12,72,72,N/A
EL12C1,Frigobar JC-70,7.50305E+12,12,12,N/A
EL13C4,Refrigerador BCD-86 Gris,7.50305E+12,18,18,N/A
EL13C5,Refrigerador BCD-86 Plata,7.50305E+12,18,18,N/A
EL14C6,Congelador BD-150C Blanco,7.50305E+12,12,12,N/A
EL15C1,Licuadora de 1350W de 2l de Plastico Negra,7.50305E+12,108,18,6
EL15C12,Licuadora de 1350W de 2l de Plastico Roja,7.50305E+12,108,18,6
EL3C6,Calentador de Paso de 6L Blanco,7.50304E+12,78,78,N/A
EL9C1,Refrigerador BC-90 Negro,7.50305E+12,12,12,N/A
ET1C1,,,,,
ET2C1,Pantallas Led 43,7.50305E+12,48,48,N/A
HG103C1,Zapatera 9 pelda��os 162*58*28cm Negra,7.50304E+12,200,20,15
HG103C17,Zapatera de Tela 9 Pelda��os CafǸ,7.50304E+12,200,20,10
HG103C4,Zapatera de Tela 9 Pelda��os Gris,7.50304E+12,300,20,15
HG103C9,Zapatera de Tela 9 Pelda��os Marino,7.50304E+12,300,20,15
HG10C1,Mesa Metalica Plegable con 4 Bancos de Tela Negra,7.50304E+12,90,90,N/A
HG123C1,Gancho Infantil Negro,7.50305E+12,175,175,N/A
HG123C4,Gancho para ropa de ni��o terciopelo Gris,7.50305E+12,196,196,N/A
HG126C11,Colchoneta King de Memory Foam de 5cm,7.50305E+12,48,12,4
HG127C1,Set de Dos Bancos de Plastico para Bar Acolchonados Negro,7.50305E+12,35,35,N/A
HG127C4,Set de Dos Bancos de Plastico para Bar Acolchonados Gris,7.50305E+12,35,35,N/A
HG127C6,Set de Dos Bancos de Plastico para Bar Acolchonados Blanco,7.50305E+12,35,35,N/A
HG12C1,Trapeador con Cubeta Negro,7.50304E+12,200,8,25
HG12C24,Trapeador con Cubeta Morado,7.50304E+12,160,6,25
HG131C1,,,,,
HG131C4,,,,,
HG131C6,,,,,
HG132C1,Set de Bancos Bar Ejecutivos Negros de 53*47*45,7.50305E+12,16,16,N/A
HG134C1,Silla de Plǭstico Plegable Reforzada 39*39*78cm Negra,7.50305E+12,100,10,10
HG135C1,Estufa de 4 Hornillas con conector para gas de 49*49*7.5cm Negra,7.50305E+12,84,84,N/A
HG137C1,Zapatera de Tela de 6 pelda��os Doble de 118*25*104cm Negra,7.50305E+12,200,20,10
HG137C17,Zapatera de Tela de 6 pelda��os Doble de 118*25*104cm CafǸ,7.50305E+12,200,20,10
HG137C20,Zapatera de Tela de 6 pelda��os Doble de 118*25*104cm Vino,7.50305E+12,150,15,10
HG137C4,Zapatera de Tela de 6 pelda��os Doble de 118*25*104cm Gris,7.50305E+12,200,20,10
HG137C9,Zapatera de Tela de 6 pelda��os Doble de 118*25*104cm Marino,7.50305E+12,150,15,10
HG140C1,Silla Metalica Plegable Acojinada Negra,7.50305E+12,96,16,6
HG141C1,Silla Plegable de Plastico Tipo Baston,7.50305E+12,12,12,N/A
HG143C1,Set de Bancos Sin Respaldo Acojinados Negro,7.50305E+12,28,28,N/A
HG149C6,Ventilador de Torre 34 Blanco,7.50305E+12,90,90,N/A
HG150C17,Armario para Ropa de Tela CafǸ,7.50305E+12,120,12,10
HG150C4,Armario para Ropa de Tela Gris,7.50305E+12,120,12,10
HG151C1,Mesa desayunador de MDF de 60*60*74 Negra,7.50305E+12,33,33,N/A
HG151C4,Mesa desayunador de MDF de 60*60*74 Gris,7.50305E+12,33,33,N/A
HG151C6,Mesa desayunador de MDF de 60*60*74 Blanca,7.50305E+12,33,33,N/A
HG152C1,Mesa desayunador de MDF de 80*80*74 Negra,7.50305E+12,28,28,N/A
HG152C4,Mesa desayunador de MDF de 80*80*74 Gris,7.50305E+12,28,28,N/A
HG152C6,Mesa desayunador de MDF de 80*80*74 Blanca,7.50305E+12,28,28,N/A
HG153C1,Silla para Comedor de Vinipiel 40*37*96cm set de 4 pzas. Negra,7.50305E+12,20,20,N/A
HG153C4,Silla para Comedor de Vinipiel 40*37*96cm set de 4 pzas. Gris,7.50305E+12,20,20,N/A
HG153C6,Silla para Comedor de Vinipiel 40*37*96cm set de 4 pzas. Blanca,7.50305E+12,20,20,N/A
HG157C5,Estufa de Panel 4 hornillas de lujo para gas de 61*52cm Plata,7.50305E+12,64,64,N/A
HG158C1,Estufa de Panel 4 hornillas de lujo para gas de 58*50cm MSG-6058 Negra,7.50305E+12,60,60,N/A
HG161C6,Enfriador de Aire Blanco,7.50305E+12,30,30,N/A
HG162C1,Estufa de Panel 5 hornillas de lujo para gas de 76*50cm MSG-7821 Negra,7.50305E+12,39,39,N/A
HG162C5,Estufa de Panel 5 hornillas de lujo para gas de 86*50cm MSD-8606 Plata,7.50305E+12,51,51,N/A
HG166C1,Parrilla BBQ recubierta con Porcelana de 43*36*35.5cm Negra,7.50305E+12,150,150,N/A
HG166C12,Parrilla BBQ recubierta con Porcelana de 43*36*35.5cm Roja,7.50305E+12,150,150,N/A
HG166C8,Parrilla BBQ recubierta con Porcelana de 43*36*35.5cm Azul,7.50305E+12,150,150,N/A
HG16C1,Gancho para Ropa de Terciopelo Negro,7.50304E+12,90,90,N/A
HG170C1,Mesa de Centro Cuadrada de 40*40*53cm Negra,7.50305E+12,180,180,N/A
HG170C4,Mesa de Centro Cuadrada de 40*40*53cm Gris,7.50305E+12,180,180,N/A
HG170C17,Mesa de Centro Cuadrada de 40*40*53cm Cafe,7.50305E+12,180,180,N/A
HG170C6,Mesa de Centro Cuadrada de 40*40*53cm Blanca,7.50305E+12,180,180,N/A
